"Name","Id","WorkingSet","Handles","UserName"
"Memory Compression","4964","461795328","0",
"pwsh","17976","441126912","1448","THINKX1-JH\Jeff"
"pwsh","21472","359342080","1041","THINKX1-JH\Jeff"
"Dropbox","4332","354725888","4346","THINKX1-JH\Jeff"
"Code","12644","351305728","698","THINKX1-JH\Jeff"
"firefox","20840","298536960","1985","THINKX1-JH\Jeff"
"Code","204","249208832","613","THINKX1-JH\Jeff"
"Code","23976","241704960","373","THINKX1-JH\Jeff"
"ekrn","4028","235290624","1345",
"firefox","13960","232005632","1085","THINKX1-JH\Jeff"
"firefox","10392","230375424","348","THINKX1-JH\Jeff"
"firefox","16036","227868672","369","THINKX1-JH\Jeff"
"slack","20132","205905920","531","THINKX1-JH\Jeff"
"OneDrive","10288","203177984","9432","THINKX1-JH\Jeff"
"slack","18452","200974336","766","THINKX1-JH\Jeff"
"firefox","20868","200392704","368","THINKX1-JH\Jeff"
"Muse","23368","172871680","1240","THINKX1-JH\Jeff"
"explorer","10572","167145472","2798","THINKX1-JH\Jeff"
"Code","11904","164986880","256","THINKX1-JH\Jeff"
"PhoneExperienceHost","5420","140046336","950","THINKX1-JH\Jeff"
"firefox","13012","136101888","390","THINKX1-JH\Jeff"
"firefox","23968","131641344","357","THINKX1-JH\Jeff"
"Code","16180","115294208","1002","THINKX1-JH\Jeff"
"SearchHost","20532","114692096","1602","THINKX1-JH\Jeff"
"Code","13448","112943104","262","THINKX1-JH\Jeff"
"slack","5868","108261376","935","THINKX1-JH\Jeff"
"dwm","7972","105402368","1356","Window Manager\DWM-3"
